Date,Time,ID,Name,Comments
2021/12/07,17:18:18:11,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,17:18:34:24,1293232,071221_KWETU MIX_PT 2_DUR 1549 ,New Clip
2021/12/07,17:34:24:19,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,17:34:40:24,1292884,KWETU MIXX_QUEEN OF FLOW_NTV JIONI_UPNEXT_XMAS,(null)
2021/12/07,17:34:48:07,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,17:35:02:19,1236918,NIVEA MEN_DEEP JUNE TVC_0020,(null)
2021/12/07,17:35:22:18,1292587,JUICY_071221_TNT_QUEEN OF FLOW_0056,New Clip
2021/12/07,17:36:18:20,1293221,081221_MAMA LUCY DOCU_0053 FINAL,New Clip
2021/12/07,17:37:12:00,1292600,SPRITE_091221_NXT_FOOTBALL REVIEW_0044,New Clip
2021/12/07,17:37:56:02,1184701,Kwetu Mixx_ BREAK_BUMPER,(null)
2021/12/07,17:38:03:14,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,17:38:20:03,1293233,071221_KWETU MIX_PT 3_DUR 1523 ,New Clip
2021/12/07,17:53:43:16,1292757,NTV Christmas Ident 15sec  music  only,(null)
2021/12/07,17:53:57:07,1257039,QUEEN OF FLOW_COMING UP,New Clip
2021/12/07,17:54:04:08,1291801,COMING UP WITH EQUITY BANK,(null)
2021/12/07,17:54:23:04,1293273,DELAMERE_071221_NXT_RETURN OF LUCAS_0100,New Clip
2021/12/07,17:55:23:20,1293262,091221_NLF ICRW_PROMO_0108 FINAL,New Clip
2021/12/07,17:56:32:11,1292928,NIVEA_081221_NXT_PIECES OF US_0046 GOOD,New Clip
2021/12/07,17:57:18:20,1292758,NTV Christmas Ident 15sec music VO and tag,(null)
2021/12/07,17:57:34:20,846290,PG RATINGS NEW_PG,(null)
2021/12/07,17:57:44:08,1293228,QUEEN OF FLOW_EPS 73_PT 1_DUR 1258 2SQZS,New Clip
2021/12/07,18:10:42:16,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,18:10:58:22,1273591,SPRITE_OCT TVC_0030,(null)
2021/12/07,18:11:28:22,1074304,COLGATE EQUITY_CUTDOWN_0010,(null)
2021/12/07,18:11:38:24,1293221,081221_MAMA LUCY DOCU_0053 FINAL,New Clip
2021/12/07,18:12:32:03,1285363,SAFARICOM_JIONEE BOARD NEW_0025,(null)
2021/12/07,18:12:57:08,1274806,RUIRU MABATI_OCT BOARD_0028,(null)
2021/12/07,18:13:25:20,1283048,CENTRE FOR HEALTH_BOARD_0030,(null)
2021/12/07,18:13:55:11,1292635,EQUITY BANK_DEC TVC 2 NEW_0030,New Clip
2021/12/07,18:14:26:04,1257072,Queen of Flow_Break Bumper,(null)
2021/12/07,18:14:33:15,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,18:14:50:05,1293229,QUEEN OF FLOW_EPS 73_PT 2_DUR 1421 SQZ,New Clip
2021/12/07,18:29:12:04,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,18:29:28:09,1292871,QUEEN OF FLOW_NTV JIONI_BUSINESS RE-DEFINED_UPNEXT_XMAS,(null)
2021/12/07,18:29:35:17,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,18:29:50:04,1291895,COKE_CAROLS BOARD_0033,New Clip
2021/12/07,18:30:23:11,1243459,NIVEA COCOA BUTTER TVC_0030,(null)
2021/12/07,18:30:53:08,1292921,KCB_FARMER AND BAKERY TVC_0032,(null)
2021/12/07,18:31:25:10,1276322,SPRITE_NBA BOARD_0027,(null)
2021/12/07,18:31:53:07,1236918,NIVEA MEN_DEEP JUNE TVC_0020,(null)
2021/12/07,18:32:13:06,1201221,FANTA_MARCH TVC_0030,New Clip
2021/12/07,18:32:43:07,1291773,BROOKSIDE_HOSTEL TVC_0020,(null)
2021/12/07,18:33:05:00,1283895,COKE_CHRISTMAS TVC_0030,(null)
2021/12/07,18:33:34:24,1074304,COLGATE EQUITY_CUTDOWN_0010,(null)
2021/12/07,18:33:45:00,1292919,KCB_CHAMA  AND SCHOOL TVC_0030,New Clip
2021/12/07,18:34:15:23,1293234,091221_NLF GBV_PROMO_0046ggd,New Clip
2021/12/07,18:35:02:12,1291722,BROOKSIDE_PARK TVC_0030,New Clip
2021/12/07,18:35:33:01,1292276,NIVEA_081221_NXT_PIECES OF US_0046,New Clip
2021/12/07,18:36:19:14,1257072,Queen of Flow_Break Bumper,(null)
2021/12/07,18:38:12:20,1257072,Queen of Flow_Break Bumper,(null)
2021/12/07,18:38:20:08,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,18:38:36:21,1293225,QUEEN OF FLOW_EPS 73_PT 3_DUR 1254,New Clip
2021/12/07,18:51:31:14,1292757,NTV Christmas Ident 15sec  music  only,(null)
2021/12/07,18:51:45:05,1292879,07122021_pgmguide_guides_1900_xmax,(null)
2021/12/07,18:52:00:18,1292677,NTV  PROGRAMME GUIDE WITH JAMBO CREEK,(null)
2021/12/07,18:52:17:04,1285827,STARTIMES_CHRISTMAS TVC_0035,New Clip
2021/12/07,18:52:51:19,1291340,SAFARICOM_DOCU PROMO 11TH DEC_0045,(null)
2021/12/07,18:53:39:10,1293273,DELAMERE_071221_NXT_RETURN OF LUCAS_0100,New Clip
2021/12/07,18:54:40:01,1291885,UNDP_DEC SHENG TVC_0050,(null)
2021/12/07,18:55:29:05,1292079,SAMSUNG_Z FOLD DEC TVC 2_0030,(null)
2021/12/07,18:55:59:05,1293221,081221_MAMA LUCY DOCU_0053 FINAL,New Clip
2021/12/07,18:56:52:10,1292756,NTV Christmas Ident 15sec music  and  VO,(null)
2021/12/07,18:57:08:10,1050797,NTV Jioni clock countdown 2020 GOOD,New Clip
2021/12/07,18:57:42:02,1146303,DOWNY_BOOM BOOM TVC _0029,(null)
2021/12/07,19:06:59:03,1146303,DOWNY_BOOM BOOM TVC _0029,(null)
2021/12/07,19:07:29:02,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,19:07:32:18,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,19:13:16:12,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,19:13:19:24,1146303,DOWNY_BOOM BOOM TVC _0029,(null)
2021/12/07,19:13:49:23,1273591,SPRITE_OCT TVC_0030,(null)
2021/12/07,19:14:19:23,1291795,EQUITY BANK_DEC TVC 1 GD_0028,(null)
2021/12/07,19:14:49:18,1284060,KENYA RE_NOV TVC_0057,(null)
2021/12/07,19:15:47:14,1293215,MAKIGA_CHRISTMAS TVC_0034,(null)
2021/12/07,19:16:21:17,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,19:16:25:07,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,19:20:08:10,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,19:20:11:21,1292857,NTV JIONI_BUSINESS RE-DEFINED_RETURN OF LUCAS_UPNEXT_XMAS,(null)
2021/12/07,19:20:19:05,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,19:20:33:17,1244172,RUIRU MABATI_JULY TVC_0034,(null)
2021/12/07,19:21:08:15,1274478,ARIEL_15 SEC LAVENDER TVC_0015,New Clip
2021/12/07,19:21:23:15,1292077,SAMSUNG_Z FOLD DEC TVC 1_0030,(null)
2021/12/07,19:21:53:15,1252488,ALWAYS_ULTRA AUG TVC_0030,(null)
2021/12/07,19:22:23:15,1200822,NTV BREAKING NEWS BUMPER NIGHT,New Clip
2021/12/07,19:22:31:15,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,19:22:35:07,1292758,NTV Christmas Ident 15sec music VO and tag,(null)
2021/12/07,19:28:36:24,1292758,NTV Christmas Ident 15sec music VO and tag,(null)
2021/12/07,19:28:52:24,1291801,COMING UP WITH EQUITY BANK,(null)
2021/12/07,19:29:11:20,1292921,KCB_FARMER AND BAKERY TVC_0032,(null)
2021/12/07,19:29:43:22,1201221,FANTA_MARCH TVC_0030,New Clip
2021/12/07,19:30:13:23,1292043,KBL_CORPORATE AD 2_0045,(null)
2021/12/07,19:30:59:03,1287312,KCB_MSME TVC_0061,(null)
2021/12/07,19:32:00:10,1276322,SPRITE_NBA BOARD_0027,(null)
2021/12/07,19:32:28:07,1292756,NTV Christmas Ident 15sec music  and  VO,(null)
2021/12/07,19:32:44:07,1293282,071221_BUSINESS REDEFINED_PT 1_DUR 1115 SQZ,New Clip
2021/12/07,19:43:59:10,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,19:44:15:15,1292860,BUSINESS RE-DEFINED_RETURN OF LUCAS_NTV TONIGHT_UPNEXT_XMAS,(null)
2021/12/07,19:44:22:23,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,19:44:37:10,1283895,COKE_CHRISTMAS TVC_0030,(null)
2021/12/07,19:45:07:09,1271095,JUICY FRUIT_SEPT TVC _0020,(null)
2021/12/07,19:45:27:09,1127389,ROYCO_AUG TVC_0030,New Clip
2021/12/07,19:45:57:09,1273591,SPRITE_OCT TVC_0030,(null)
2021/12/07,19:46:27:10,1291003,SAFARICOM_MTN BOARD 3_0015,(null)
2021/12/07,19:46:42:09,1243459,NIVEA COCOA BUTTER TVC_0030,(null)
2021/12/07,19:47:12:06,1283895,COKE_CHRISTMAS TVC_0030,(null)
2021/12/07,19:47:42:05,1184702,BUSINESS REDEFINED BREAK BUMPER GOOD,(null)
2021/12/07,19:47:49:17,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,19:48:06:06,1293276,071221_BUSINESS REDEFINED_PT 2_DUR 2048,New Clip
2021/12/07,20:08:54:08,1292757,NTV Christmas Ident 15sec  music  only,(null)
2021/12/07,20:09:07:24,1291801,COMING UP WITH EQUITY BANK,(null)
2021/12/07,20:09:26:20,1291894,COKE_CAROLS BOARD_0033,(null)
2021/12/07,20:10:00:02,1293262,091221_NLF ICRW_PROMO_0108 FINAL,New Clip
2021/12/07,20:11:08:19,1292758,NTV Christmas Ident 15sec music VO and tag,(null)
2021/12/07,20:11:24:18,846290,PG RATINGS NEW_PG,(null)
2021/12/07,20:11:34:06,1293243,DELAMARE RETURN OF LUCAS INTRO,(null)
2021/12/07,20:11:39:08,1293296,RETURN OF LUCAS_EPS 8_PT 1_DUR 0812_2SQZS,New Clip
2021/12/07,20:19:52:07,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,20:20:08:12,1273591,SPRITE_OCT TVC_0030,(null)
2021/12/07,20:20:38:13,1292667,09122021-THAMANI EPS -0048,New Clip
2021/12/07,20:21:27:02,1276322,SPRITE_NBA BOARD_0027,(null)
2021/12/07,20:21:54:24,1292928,NIVEA_081221_NXT_PIECES OF US_0046 GOOD,New Clip
2021/12/07,20:22:41:08,1201221,FANTA_MARCH TVC_0030,New Clip
2021/12/07,20:23:11:09,1293221,081221_MAMA LUCY DOCU_0053 FINAL,New Clip
2021/12/07,20:24:04:14,1293245,DELAMARE RETURN OF LUCAS MIDCUE,(null)
2021/12/07,20:24:10:20,1293297,RETURN OF LUCAS_EPS 8_PT 2_DUR 0642_2SQZS,New Clip
2021/12/07,20:30:53:12,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,20:31:09:17,1292858,RETURN OF LUCAS_NTV TONIGHT_MUSIC MIX_UPNEXT_XMAS,(null)
2021/12/07,20:31:17:00,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,20:31:31:12,1291895,COKE_CAROLS BOARD_0033,New Clip
2021/12/07,20:32:04:19,1127389,ROYCO_AUG TVC_0030,New Clip
2021/12/07,20:32:34:19,1291895,COKE_CAROLS BOARD_0033,New Clip
2021/12/07,20:33:08:01,1293262,091221_NLF ICRW_PROMO_0108 FINAL,New Clip
2021/12/07,20:34:16:17,1236918,NIVEA MEN_DEEP JUNE TVC_0020,(null)
2021/12/07,20:34:36:16,1283895,COKE_CHRISTMAS TVC_0030,(null)
2021/12/07,20:35:06:15,1292751,NTV Christmas Ident 8sec music and VO,(null)
2021/12/07,20:35:15:23,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,20:36:52:14,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/12/07,20:36:56:00,1283895,COKE_CHRISTMAS TVC_0030,(null)
2021/12/07,20:37:25:24,1293234,091221_NLF GBV_PROMO_0046ggd,New Clip
2021/12/07,20:38:12:13,1276322,SPRITE_NBA BOARD_0027,(null)
2021/12/07,20:38:40:10,1243459,NIVEA COCOA BUTTER TVC_0030,(null)
2021/12/07,20:39:10:07,1269423,GEN -WARD KENYA POLITICS,(null)
2021/12/07,20:40:01:02,1293245,DELAMARE RETURN OF LUCAS MIDCUE,(null)
2021/12/07,20:40:07:08,1293298,RETURN OF LUCAS_EPS 8_PT 3_DUR 0743_2SQZS,New Clip
